expiry,tenor,term_tenor,implied_vol_ann_current,implied_vol_ann_1d_chg,implied_vol_ann_1w_chg,implied_vol_ann_1m_chg,implied_vol_ann_20d_high,implied_vol_ann_20d_low,implied_vol_daily_current,implied_vol_daily_1d_chg,implied_vol_daily_1w_chg,implied_vol_daily_1m_chg,implied_vol_daily_20d_high,implied_vol_daily_20d_low,realized_vol_10d,realized_vol_20d,realized_vol_60d,realized_vol_90d,realized_vol_120d,realized_vol_180d,is_largest_1d_mover,is_largest_1w_mover,is_largest_1m_mover
10Y,2,10Y × 2Y,93.43000000000004,0.5000000000000284,6.160000000000025,10.390000000000057,93.43000000000004,83.19,5.885536785542018,0.03149703941743739,0.3880435256228082,0.6545084790943154,5.885536785542018,5.240477418272935,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,True,False
10Y,5,10Y × 5Y,87.66000000000001,0.39000000000000057,5.549999999999997,9.740000000000023,87.66000000000001,78.57,5.522060950664811,0.024567690745599804,0.349617137533535,0.613562327851647,5.522060950664811,4.94944477405583,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,True,False
10Y,10,10Y × 10Y,81.19000000000001,0.45000000000000284,4.879999999999981,8.460000000000036,81.19000000000001,73.12999999999998,5.114489260603194,0.02834733547569222,0.30741110471417027,0.5329299069430127,5.114489260603194,4.60675698519413,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,True,False
10Y,30,10Y × 30Y,68.11999999999999,0.010000000000019327,4.539999999999992,6.339999999999996,68.11999999999999,62.13999999999997,4.291156650231426,0.0006299407883499294,0.28599311791031473,0.3993824598130832,4.291156650231426,3.914452058798895,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
15Y,2,15Y × 2Y,78.71999999999997,0.4499999999999602,4.959999999999965,8.339999999999947,78.71999999999997,70.38999999999997,4.958893885881059,0.028347335475689534,0.312450631020959,0.5253706174828224,4.958893885881059,4.434153209186582,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,True,False
15Y,5,15Y × 5Y,75.08000000000003,0.44000000000002615,4.840000000000018,8.039999999999992,75.08000000000003,67.24000000000001,4.729595438922131,0.027717394687344975,0.30489134156077774,0.506472393832364,4.729595438922131,4.23572186085674,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,True,False
15Y,10,15Y × 10Y,69.65999999999997,0.5199999999999818,4.109999999999985,7.019999999999939,69.65999999999997,62.90000000000001,4.388167531637126,0.032756920994131876,0.2589056640113197,0.442218433420792,4.388167531637126,3.9623275587133993,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,True,False
15Y,30,15Y × 30Y,60.020000000000024,0.0,3.8000000000000327,5.150000000000013,60.020000000000024,55.08000000000001,3.780904611668971,0.0,0.23937749957251261,0.3244195059995875,3.780904611668971,3.469713862224707,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
1M,2,1M × 2Y,176.20703731690173,-3.1749015732775945,25.71670274354787,38.41630903665779,180.9693896768179,128.90100387506686,11.1,-0.2000000000000054,1.620000000000003,2.419999999999996,11.399999999999993,8.120000000000001,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,False,False
1M,5,1M × 5Y,165.09488181043048,-4.762352359916207,22.700546248934216,24.922977350228507,171.44468495698555,130.64719974036947,10.4,-0.29999999999999644,1.4300000000000017,1.5700000000000038,10.800000000000004,8.229999999999999,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,False,False
1M,10,1M × 10Y,153.18900091063983,-3.651136809269161,17.93819388901801,27.304153530186653,158.58633358521163,126.51982769510875,9.650000000000002,-0.23000000000000165,1.1300000000000052,1.7200000000000049,9.990000000000004,7.970000000000001,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,False,False
1M,30,1M × 30Y,125.56735722312553,-4.603607281252266,12.699606293110122,25.240467507556218,132.07590544834437,102.70806589552745,7.910000000000003,-0.2899999999999923,0.8000000000000055,1.5900000000000014,8.32,6.470000000000002,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
1Y,2,1Y × 2Y,169.8572341703467,-1.5874507866388683,23.811761799581348,33.01897636208611,171.44468495698555,132.55214068433594,10.699999999999998,-0.10000000000000717,1.500000000000002,2.080000000000001,10.800000000000004,8.349999999999996,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,False,False
1Y,5,1Y × 5Y,150.33158949469004,-2.857411415949798,15.080782473068211,23.17678148492587,154.4589615399508,125.24986706579767,9.469999999999999,-0.18000000000000252,0.9500000000000028,1.4600000000000033,9.729999999999999,7.889999999999997,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,False,False
1Y,10,1Y × 10Y,130.3297095830418,-2.857411415949656,8.254744090521527,16.985723417034748,135.40955210028577,114.77269187398196,8.210000000000003,-0.17999999999999358,0.5200000000000002,1.0700000000000047,8.530000000000001,7.23,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,False,False
1Y,30,1Y × 30Y,106.35920270479653,-3.809881887933045,5.238587595907887,11.429645663798965,112.55026077268768,97.15198814229177,6.699999999999999,-0.24000000000000218,0.32999999999999985,0.7199999999999958,7.089999999999999,6.12,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
20Y,2,20Y × 2Y,70.21999999999998,0.44999999999998863,4.499999999999957,7.500000000000007,70.21999999999998,62.64000000000003,4.423444215784655,0.028347335475691324,0.2834733547569177,0.47245559126153447,4.423444215784655,3.945949098216334,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,True,False
20Y,5,20Y × 5Y,67.28,0.45000000000001705,4.379999999999988,7.290000000000006,67.28,60.07000000000002,4.238241624010135,0.028347335475693115,0.2759140652967351,0.45922683470621145,4.238241624010135,3.7840543156107143,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,True,False
20Y,10,20Y × 10Y,63.480000000000004,0.5100000000000051,3.9399999999999764,6.440000000000012,63.480000000000004,57.21000000000002,3.998864124437624,0.03212698020578463,0.24819667060939105,0.4056818676965713,3.998864124437624,3.6038912501429827,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,True,False
20Y,30,20Y × 30Y,55.380000000000024,0.010000000000019327,3.3000000000000327,4.690000000000019,55.380000000000024,50.870000000000005,3.4886120858751686,0.0006299407883499294,0.20788046015507702,0.2954422297355471,3.4886120858751686,3.204508790329898,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
25Y,2,25Y × 2Y,66.65499999999997,0.44499999999996476,4.3049999999999855,7.024999999999977,66.65499999999997,59.54500000000001,4.198870324738338,0.028032365081515465,0.2711895093841196,0.44253340381496875,4.198870324738338,3.750982424222406,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,True,False
25Y,5,25Y × 5Y,63.94500000000001,0.4450000000000145,4.180000000000021,6.794999999999995,63.94500000000001,57.21000000000002,4.0281563710958395,0.028032365081518597,0.26331524952976293,0.42804476568294947,4.0281563710958395,3.6038912501429827,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,True,False
25Y,10,25Y × 10Y,60.05999999999999,0.5049999999999955,3.740000000000009,6.034999999999982,60.05999999999999,54.13,3.7834243748223635,0.03181200981160967,0.23559785484241888,0.3801692657684466,3.7834243748223635,3.4098694873315782,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,True,False
25Y,30,25Y × 30Y,52.95000000000001,0.0,3.104999999999997,4.359999999999999,52.95000000000001,48.69499999999999,3.335536474306431,0.0,0.19559661478227489,0.2746541837200384,3.335536474306431,3.067496668864053,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
2Y,2,2Y × 2Y,161.00999999999996,-0.6099999999999852,22.16999999999993,28.1399999999999,161.61999999999995,130.47999999999993,10.14267663320261,-0.0384263880892705,1.3965787277690902,1.7726533784132694,10.18110302129188,8.21946740637399,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,False,False
2Y,5,2Y × 5Y,140.71000000000004,-1.1499999999999773,13.20999999999998,21.18000000000005,141.86,119.60999999999996,8.86389683285473,-0.07244319066010045,0.8321517814086473,1.3342145897225752,8.936340023514829,7.534721769438942,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,False,False
2Y,10,2Y × 10Y,121.65000000000003,-2.0099999999999625,7.440000000000026,16.430000000000064,123.87000000000005,106.91999999999996,7.663229690262084,-0.12661809845808875,0.4686759465314434,1.0349927152569378,7.803076545275498,6.735326909024426,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,False,False
2Y,30,2Y × 30Y,99.67,-2.750000000000014,5.520000000000024,11.630000000000024,102.67000000000002,89.76000000000003,6.278619837471613,-0.1732337167958967,0.3477273151684906,0.7326211368495535,6.467602073976227,5.654348516218041,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
30Y,2,30Y × 2Y,63.09000000000001,0.44000000000002615,4.110000000000021,6.550000000000004,63.09000000000001,56.45000000000002,3.974296433692025,0.027717394687344975,0.2589056640113219,0.41261121636840664,3.974296433692025,3.5560157502284806,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,True,False
30Y,5,30Y × 5Y,60.61,0.44000000000001904,3.9799999999999898,6.299999999999997,60.61,54.349999999999994,3.8180711181815434,0.027717394687344528,0.25071643376278674,0.3968626966596884,3.8180711181815434,3.4237281846752494,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,True,False
30Y,10,30Y × 10Y,56.63999999999998,0.4999999999999787,3.5399999999999707,5.629999999999988,56.63999999999998,51.05,3.5679846252071035,0.03149703941743426,0.22299903907544222,0.3546566638403241,3.5679846252071035,3.2158477245201746,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,True,False
30Y,30,30Y × 30Y,50.52000000000001,-0.009999999999990905,2.9100000000000037,4.030000000000015,50.53,46.52000000000001,3.1824608627376936,-0.0006299407883481391,0.18331276940947544,0.2538661377045319,3.1830908035260417,2.930484547398209,109.0201480461298,104.37838333375579,98.97446439882313,99.4258002281663,100.24927653252232,98.97572987873302,False,False,False
3M,2,3M × 2Y,169.8572341703467,-1.5874507866388683,22.700546248934188,32.225250968766744,171.44468495698555,129.37723911105851,10.699999999999998,-0.10000000000000717,1.43,2.030000000000002,10.800000000000004,8.150000000000002,131.5716621085254,137.36928773909895,122.58475433175315,139.49750964512236,135.77800716838362,129.66974937431965,False,False,False
3M,5,3M × 5Y,157.95135327055607,-2.381176179958061,20.16062499031213,20.478115147639954,161.9199802371529,130.01221942571402,9.950000000000001,-0.14999999999999555,1.2699999999999967,1.2900000000000014,10.199999999999998,8.190000000000003,172.25552864857474,148.84740413997997,132.4282496153539,144.08811354128983,140.34665055885108,133.03000302441546,False,False,False
3M,10,3M × 10Y,143.50555111214334,-3.174901573277566,12.858351371773864,20.319370068975957,148.26790347205971,125.09112198713387,9.039999999999996,-0.2000000000000036,0.8099999999999971,1.2799999999999936,9.340000000000003,7.880000000000002,166.777435134373,134.72051537300632,124.06433567996828,130.38606648304608,127.59139360900582,121.41701104863033,False,False,False
